# Angebot in der Kaufen-Truhe. stufe = ab welcher Quellphase. preis = Splitter je Stueck.
# max = wie viel ein Shift-Klick kauft (Standard 64, bei Werkzeug und Sets 1).
# item: normale Item-ID, Kurzname aus SONDERITEMS (Tranke, Buecher) oder SET:<a:n;b:n> fuer eine gefuellte Truhe.
# id muss eindeutig und stabil bleiben.
# kat = Reiter im Laden: BLOCKS, MINERALS, MOB, FOOD, TOOLS, UTIL, BREW, SPECIAL
# ENCH (Reiter Enchanting) steht bewusst nicht hier: die Upgrade-Station baut ihre Knoepfe selbst
# aus rp_build.ENCH. Die 28 Verzauberungsbuecher sind mit v0.45 entfallen (Luis, 10.09.2026).
id,stufe,name,preis,max,item,kat,pos
180,3,Gunpowder,40,64,gunpowder,MOB,
181,5,Magma Cream,90,64,magma_cream,MOB,
182,6,Wither Skeleton Skull,1200,16,wither_skeleton_skull,MOB,
183,7,Nether Star,6000,1,nether_star,MOB,
184,1,Reaper Skull,700,16,SKULL,SPECIAL,
200,1,Wooden Sword,20,1,wooden_sword,TOOLS,0
201,1,Wooden Pickaxe,25,1,wooden_pickaxe,TOOLS,1
202,1,Wooden Axe,25,1,wooden_axe,TOOLS,2
203,1,Wooden Shovel,15,1,wooden_shovel,TOOLS,3
204,1,Leather Helmet,66,1,leather_helmet,TOOLS,5
205,1,Leather Chestplate,106,1,leather_chestplate,TOOLS,6
206,1,Leather Leggings,92,1,leather_leggings,TOOLS,7
207,1,Leather Boots,52,1,leather_boots,TOOLS,8
208,1,Stone Sword,30,1,stone_sword,TOOLS,9
209,1,Stone Pickaxe,30,1,stone_pickaxe,TOOLS,10
210,1,Stone Axe,30,1,stone_axe,TOOLS,11
211,1,Stone Shovel,20,1,stone_shovel,TOOLS,12
212,1,Chainmail Helmet,200,1,chainmail_helmet,TOOLS,14
213,1,Chainmail Chestplate,320,1,chainmail_chestplate,TOOLS,15
214,1,Chainmail Leggings,280,1,chainmail_leggings,TOOLS,16
215,1,Chainmail Boots,160,1,chainmail_boots,TOOLS,17
216,2,Iron Sword,110,1,iron_sword,TOOLS,18
217,2,Iron Pickaxe,165,1,iron_pickaxe,TOOLS,19
218,2,Iron Axe,165,1,iron_axe,TOOLS,20
219,2,Iron Shovel,55,1,iron_shovel,TOOLS,21
220,2,Iron Helmet,275,1,iron_helmet,TOOLS,23
221,2,Iron Chestplate,440,1,iron_chestplate,TOOLS,24
222,2,Iron Leggings,385,1,iron_leggings,TOOLS,25
223,2,Iron Boots,220,1,iron_boots,TOOLS,26
224,4,Diamond Sword,1100,1,diamond_sword,TOOLS,27
225,4,Diamond Pickaxe,1650,1,diamond_pickaxe,TOOLS,28
226,4,Diamond Axe,1650,1,diamond_axe,TOOLS,29
227,4,Diamond Shovel,550,1,diamond_shovel,TOOLS,30
228,4,Diamond Helmet,2750,1,diamond_helmet,TOOLS,32
229,4,Diamond Chestplate,4400,1,diamond_chestplate,TOOLS,33
230,4,Diamond Leggings,3850,1,diamond_leggings,TOOLS,34
231,4,Diamond Boots,2200,1,diamond_boots,TOOLS,35
232,6,Netherite Sword,2750,1,netherite_sword,TOOLS,36
233,6,Netherite Pickaxe,3000,1,netherite_pickaxe,TOOLS,37
234,6,Netherite Axe,3000,1,netherite_axe,TOOLS,38
235,6,Netherite Shovel,2250,1,netherite_shovel,TOOLS,39
236,6,Netherite Helmet,3500,1,netherite_helmet,TOOLS,41
237,6,Netherite Chestplate,4500,1,netherite_chestplate,TOOLS,42
238,6,Netherite Leggings,4000,1,netherite_leggings,TOOLS,43
239,6,Netherite Boots,3250,1,netherite_boots,TOOLS,44
28,1,Coal,15,64,coal,MINERALS,0
80,1,Copper Ingot,20,64,copper_ingot,MINERALS,1
29,1,Iron Ingot,50,64,iron_ingot,MINERALS,2
61,3,Gold Ingot,100,64,gold_ingot,MINERALS,3
65,3,Lapis Lazuli,20,64,lapis_lazuli,MINERALS,4
42,3,Redstone,10,64,redstone,MINERALS,5
131,4,Diamond,500,64,diamond,MINERALS,6
300,5,Emerald,250,64,emerald,MINERALS,7
301,6,Netherite Ingot,3000,64,netherite_ingot,MINERALS,8
121,6,Netherite Upgrade Template,1500,1,netherite_upgrade_smithing_template,MINERALS,27
310,6,Bolt Armor Trim,2500,1,bolt_armor_trim_smithing_template,MINERALS,9
311,6,Coast Armor Trim,1000,1,coast_armor_trim_smithing_template,MINERALS,10
312,6,Dune Armor Trim,1000,1,dune_armor_trim_smithing_template,MINERALS,11
313,6,Eye Armor Trim,1000,1,eye_armor_trim_smithing_template,MINERALS,12
314,6,Flow Armor Trim,2500,1,flow_armor_trim_smithing_template,MINERALS,13
315,6,Host Armor Trim,1000,1,host_armor_trim_smithing_template,MINERALS,14
316,6,Raiser Armor Trim,1000,1,raiser_armor_trim_smithing_template,MINERALS,15
317,6,Rib Armor Trim,1000,1,rib_armor_trim_smithing_template,MINERALS,16
318,6,Sentry Armor Trim,1000,1,sentry_armor_trim_smithing_template,MINERALS,17
319,6,Shaper Armor Trim,1000,1,shaper_armor_trim_smithing_template,MINERALS,18
320,6,Silence Armor Trim,2500,1,silence_armor_trim_smithing_template,MINERALS,19
321,6,Snout Armor Trim,1000,1,snout_armor_trim_smithing_template,MINERALS,20
322,6,Spire Armor Trim,1000,1,spire_armor_trim_smithing_template,MINERALS,21
323,6,Tide Armor Trim,1000,1,tide_armor_trim_smithing_template,MINERALS,22
324,6,Vex Armor Trim,1000,1,vex_armor_trim_smithing_template,MINERALS,23
325,6,Ward Armor Trim,1000,1,ward_armor_trim_smithing_template,MINERALS,24
326,6,Wayfinder Armor Trim,1000,1,wayfinder_armor_trim_smithing_template,MINERALS,25
327,6,Wild Armor Trim,1000,1,wild_armor_trim_smithing_template,MINERALS,26
