# Automatisch aus den Spielrezepten abgeleitet (python3 preise_ableiten.py). Nicht von Hand aendern,
# Basispreise gehoeren nach preise.csv (die gewinnen immer). quelle: basis, rezept, muster oder rest.
item,name,wert,quelle
beacon,Beacon,3713,rezept
bee_nest,Bee Nest,30,basis
beef,Raw Beef,6,basis
beehive,Beehive,37,rezept
beetroot,Beetroot,2,basis
beetroot_seeds,Beetroot Seeds,2,muster
beetroot_soup,Beetroot Soup,17,rezept
bell,Bell,200,muster
big_dripleaf,Big Dripleaf,2,basis
birch_boat,Birch Boat,28,rezept
birch_button,Birch Button,6,rezept
birch_chest_boat,Birch Boat with Chest,61,rezept
birch_door,Birch Door,11,rezept
birch_fence,Birch Fence,9,rezept
birch_fence_gate,Birch Fence Gate,20,rezept
birch_hanging_sign,Birch Hanging Sign,28,rezept
birch_leaves,Birch Leaves,1,muster
birch_log,Birch Log,15,basis
birch_planks,Birch Planks,5,rezept
birch_pressure_plate,Birch Pressure Plate,11,rezept
birch_sapling,Birch Sapling,20,muster
birch_shelf,Birch Shelf,17,rezept
birch_sign,Birch Sign,12,rezept
birch_slab,Birch Slab,3,rezept
birch_stairs,Birch Stairs,9,rezept
birch_trapdoor,Birch Trapdoor,17,rezept
birch_wood,Birch Wood,22,rezept
black_banner,Black Banner,62,rezept
black_bed,Black Bed,31,rezept
black_candle,Black Candle,16,rezept
black_carpet,Black Carpet,7,rezept
black_concrete,Black Concrete,5,muster
black_concrete_powder,Black Concrete Powder,4,rezept
black_dye,Black Dye,4,rezept
black_glazed_terracotta,Black Glazed Terracotta,9,rezept
black_harness,Black Harness,43,rezept
black_shulker_box,Black Shulker Box,401,rezept
black_stained_glass,Black Stained Glass,4,rezept
black_stained_glass_pane,Black Stained Glass Pane,2,rezept
black_terracotta,Black Terracotta,7,rezept
black_wool,Black Wool,9,rezept
blackstone,Blackstone,3,basis
blackstone_slab,Blackstone Slab,2,rezept
blackstone_stairs,Blackstone Stairs,3,rezept
blackstone_wall,Blackstone Wall,3,rezept
blade_pottery_sherd,Blade Pottery Sherd,20,muster
blast_furnace,Blast Furnace,127,rezept
blaze_powder,Blaze Powder,11,rezept
blaze_rod,Blaze Rod,20,basis
blue_banner,Blue Banner,56,rezept
blue_bed,Blue Bed,30,rezept
blue_candle,Blue Candle,15,rezept
blue_carpet,Blue Carpet,6,rezept
blue_concrete,Blue Concrete,5,muster
blue_concrete_powder,Blue Concrete Powder,4,rezept
blue_dye,Blue Dye,3,rezept
blue_egg,Blue Egg,2,muster
blue_glazed_terracotta,Blue Glazed Terracotta,8,rezept
blue_harness,Blue Harness,42,rezept
blue_ice,Blue Ice,297,rezept
blue_orchid,Blue Orchid,2,muster
blue_shulker_box,Blue Shulker Box,400,rezept
blue_stained_glass,Blue Stained Glass,4,rezept
blue_stained_glass_pane,Blue Stained Glass Pane,2,rezept
blue_terracotta,Blue Terracotta,6,rezept
blue_wool,Blue Wool,8,rezept
bolt_armor_trim_smithing_template,Smithing Template,300,rezept
bone,Bone,3,basis
bone_block,Bone Block,10,basis
bone_meal,Bone Meal,2,rezept
book,Book,22,rezept
bookshelf,Bookshelf,40,basis
bordure_indented_banner_pattern,Bordure Indented Banner Pattern,6,rezept
bowl,Bowl,3,rezept
brain_coral,Brain Coral,4,muster
brain_coral_block,Brain Coral Block,8,muster
brain_coral_fan,Brain Coral Fan,4,muster
bread,Bread,12,basis
breeze_rod,Breeze Rod,20,muster
brewer_pottery_sherd,Brewer Pottery Sherd,20,muster
brewing_stand,Brewing Stand,26,rezept
brick,Brick,2,basis
brick_slab,Brick Slab,5,rezept
brick_stairs,Brick Stairs,9,rezept
brick_wall,Brick Wall,9,rezept
bricks,Bricks,9,rezept
brown_banner,Brown Banner,62,rezept
brown_bed,Brown Bed,31,rezept
brown_candle,Brown Candle,16,rezept
brown_carpet,Brown Carpet,7,rezept
brown_concrete,Brown Concrete,5,muster
brown_concrete_powder,Brown Concrete Powder,4,rezept
brown_dye,Brown Dye,4,rezept
brown_egg,Brown Egg,2,muster
brown_glazed_terracotta,Brown Glazed Terracotta,9,rezept
brown_harness,Brown Harness,43,rezept
brown_mushroom,Brown Mushroom,2,basis
brown_mushroom_block,Brown Mushroom Block,5,muster
brown_shulker_box,Brown Shulker Box,401,rezept
brown_stained_glass,Brown Stained Glass,4,rezept
brown_stained_glass_pane,Brown Stained Glass Pane,2,rezept
brown_terracotta,Brown Terracotta,7,rezept
brown_wool,Brown Wool,9,rezept
bubble_coral,Bubble Coral,4,muster
bubble_coral_block,Bubble Coral Block,8,muster
bubble_coral_fan,Bubble Coral Fan,4,muster
bucket,Bucket,66,rezept
burn_pottery_sherd,Burn Pottery Sherd,20,muster
bush,Bush,2,muster
cactus,Cactus,3,basis
cactus_flower,Cactus Flower,2,muster
calcite,Calcite,3,basis
calibrated_sculk_sensor,Calibrated Sculk Sensor,53,rezept
campfire,Campfire,47,rezept
candle,Candle,10,rezept
carrot,Carrot,3,basis
cartography_table,Cartography Table,22,rezept
carved_pumpkin,Carved Pumpkin,10,muster
cauldron,Cauldron,154,rezept
chain,Chain,1,rest
charcoal,Charcoal,19,rezept
cherry_boat,Cherry Boat,28,rezept
cherry_button,Cherry Button,6,rezept
cherry_chest_boat,Cherry Boat with Chest,61,rezept
cherry_door,Cherry Door,11,rezept
cherry_fence,Cherry Fence,9,rezept
cherry_fence_gate,Cherry Fence Gate,20,rezept
cherry_hanging_sign,Cherry Hanging Sign,28,rezept
cherry_leaves,Cherry Leaves,1,muster
cherry_log,Cherry Log,15,muster
cherry_planks,Cherry Planks,5,rezept
cherry_pressure_plate,Cherry Pressure Plate,11,rezept
cherry_sapling,Cherry Sapling,20,muster
cherry_shelf,Cherry Shelf,17,rezept
cherry_sign,Cherry Sign,12,rezept
cherry_slab,Cherry Slab,3,rezept
cherry_stairs,Cherry Stairs,9,rezept
cherry_trapdoor,Cherry Trapdoor,17,rezept
cherry_wood,Cherry Wood,22,rezept
chest,Chest,27,rezept
chest_minecart,Minecart with Chest,152,rezept
chicken,Raw Chicken,5,basis
chipped_anvil,Chipped Anvil,1,rest
chiseled_bookshelf,Chiseled Bookshelf,27,rezept
chiseled_copper,Chiseled Copper,13,rezept
chiseled_deepslate,Chiseled Deepslate,2,rezept
chiseled_nether_bricks,Chiseled Nether Bricks,14,rezept
chiseled_polished_blackstone,Chiseled Polished Blackstone,3,rezept
chiseled_quartz_block,Chiseled Quartz Block,27,rezept
chiseled_red_sandstone,Chiseled Red Sandstone,4,rezept
chiseled_resin_bricks,Chiseled Resin Bricks,1,rest
chiseled_sandstone,Chiseled Sandstone,4,rezept
chiseled_stone_bricks,Chiseled Stone Bricks,1,rest
chiseled_tuff,Chiseled Tuff,1,rest
chiseled_tuff_bricks,Chiseled Tuff Bricks,1,rest
chorus_flower,Chorus Flower,10,basis
chorus_fruit,Chorus Fruit,8,basis
clay,Clay,4,basis
clay_ball,Clay Ball,1,basis
clock,Clock,180,rezept
closed_eyeblossom,Closed Eyeblossom,2,muster
coal,Coal,6,basis
coal_block,Block of Coal,60,basis
coal_ore,Coal Ore,5,basis
coarse_dirt,Coarse Dirt,1,basis
coast_armor_trim_smithing_template,Smithing Template,300,rezept
cobbled_deepslate,Cobbled Deepslate,2,basis
cobbled_deepslate_slab,Cobbled Deepslate Slab,1,rest
cobbled_deepslate_stairs,Cobbled Deepslate Stairs,2,rezept
cobbled_deepslate_wall,Cobbled Deepslate Wall,2,rezept
cobblestone,Cobblestone,1,basis
cobblestone_slab,Cobblestone Slab,1,rest
cobblestone_stairs,Cobblestone Stairs,1,rest
cobblestone_wall,Cobblestone Wall,1,rest
cobweb,Cobweb,5,basis
cocoa_beans,Cocoa Beans,3,basis
cod,Raw Cod,4,basis
cod_bucket,Bucket of Cod,80,basis
comparator,Redstone Comparator,30,rezept
compass,Compass,92,rezept
composter,Composter,16,rezept
conduit,Conduit,815,rezept
cooked_beef,Steak,25,basis
cooked_chicken,Cooked Chicken,12,basis
cooked_cod,Cooked Cod,5,rezept
cooked_mutton,Cooked Mutton,12,basis
cooked_porkchop,Cooked Porkchop,12,basis
cooked_rabbit,Cooked Rabbit,7,rezept
cooked_salmon,Cooked Salmon,5,rezept
cookie,Cookie,2,rezept
copper_bars,Copper Bars,3,rezept
copper_block,Block of Copper,50,basis
copper_bulb,Copper Bulb,48,rezept
copper_chain,Copper Chain,8,rezept
copper_chest,Copper Chest,74,rezept
copper_door,Copper Door,11,rezept
copper_grate,Copper Grate,13,rezept
copper_ingot,Copper Ingot,5,basis
copper_lantern,Copper Lantern,13,rezept
copper_nugget,Copper Nugget,1,rest
copper_ore,Copper Ore,4,basis
copper_spear,Copper Spear,10,rezept
copper_torch,Copper Torch,3,rezept
copper_trapdoor,Copper Trapdoor,22,rezept
cornflower,Cornflower,2,muster
cracked_deepslate_bricks,Cracked Deepslate Bricks,3,rezept
cracked_deepslate_tiles,Cracked Deepslate Tiles,3,rezept
cracked_nether_bricks,Cracked Nether Bricks,18,rezept
cracked_polished_blackstone_bricks,Cracked Polished Blackstone Bricks,4,rezept
cracked_stone_bricks,Cracked Stone Bricks,2,rezept
crafter,Crafter,145,rezept
crafting_table,Crafting Table,14,rezept
creaking_heart,Creaking Heart,100,rezept
creeper_banner_pattern,Banner Pattern,115,rezept
creeper_head,Creeper Head,100,muster
crimson_button,Crimson Button,4,rezept
crimson_door,Crimson Door,7,rezept
crimson_fence,Crimson Fence,6,rezept
crimson_fence_gate,Crimson Fence Gate,16,rezept
crimson_fungus,Crimson Fungus,2,basis
crimson_hanging_sign,Crimson Hanging Sign,28,rezept
crimson_hyphae,Crimson Hyphae,15,rezept
crimson_nylium,Crimson Nylium,1,rest
crimson_planks,Crimson Planks,3,rezept
crimson_pressure_plate,Crimson Pressure Plate,7,rezept
crimson_roots,Crimson Roots,1,basis
crimson_shelf,Crimson Shelf,17,rezept
crimson_sign,Crimson Sign,8,rezept
crimson_slab,Crimson Slab,2,rezept
crimson_stairs,Crimson Stairs,5,rezept
crimson_stem,Crimson Stem,10,basis
crimson_trapdoor,Crimson Trapdoor,10,rezept
crying_obsidian,Crying Obsidian,150,basis
cut_copper,Cut Copper,13,rezept
cut_copper_slab,Cut Copper Slab,7,rezept
cut_copper_stairs,Cut Copper Stairs,13,rezept
cut_red_sandstone,Cut Red Sandstone,4,rezept
cut_red_sandstone_slab,Cut Red Sandstone Slab,2,rezept
cut_sandstone,Cut Sandstone,4,rezept
cut_sandstone_slab,Cut Sandstone Slab,2,rezept
cyan_banner,Cyan Banner,49,rezept
cyan_bed,Cyan Bed,29,rezept
cyan_candle,Cyan Candle,14,rezept
cyan_carpet,Cyan Carpet,6,rezept
cyan_concrete,Cyan Concrete,5,muster
cyan_concrete_powder,Cyan Concrete Powder,4,rezept
cyan_dye,Cyan Dye,2,rezept
cyan_glazed_terracotta,Cyan Glazed Terracotta,8,rezept
cyan_harness,Cyan Harness,41,rezept
cyan_shulker_box,Cyan Shulker Box,399,rezept
cyan_stained_glass,Cyan Stained Glass,4,rezept
cyan_stained_glass_pane,Cyan Stained Glass Pane,2,rezept
cyan_terracotta,Cyan Terracotta,6,rezept
cyan_wool,Cyan Wool,7,rezept
damaged_anvil,Damaged Anvil,1,rest
dandelion,Dandelion,2,muster
danger_pottery_sherd,Danger Pottery Sherd,20,muster
dark_oak_boat,Dark Oak Boat,28,rezept
dark_oak_button,Dark Oak Button,6,rezept
dark_oak_chest_boat,Dark Oak Boat with Chest,61,rezept
dark_oak_door,Dark Oak Door,11,rezept
dark_oak_fence,Dark Oak Fence,9,rezept
dark_oak_fence_gate,Dark Oak Fence Gate,20,rezept
dark_oak_hanging_sign,Dark Oak Hanging Sign,28,rezept
dark_oak_leaves,Dark Oak Leaves,1,muster
dark_oak_log,Dark Oak Log,15,basis
dark_oak_planks,Dark Oak Planks,5,rezept
dark_oak_pressure_plate,Dark Oak Pressure Plate,11,rezept
dark_oak_sapling,Dark Oak Sapling,20,muster
dark_oak_shelf,Dark Oak Shelf,17,rezept
dark_oak_sign,Dark Oak Sign,12,rezept
dark_oak_slab,Dark Oak Slab,3,rezept
dark_oak_stairs,Dark Oak Stairs,9,rezept
dark_oak_trapdoor,Dark Oak Trapdoor,17,rezept
dark_oak_wood,Dark Oak Wood,22,rezept
dark_prismarine,Dark Prismarine,49,rezept
dark_prismarine_slab,Dark Prismarine Slab,25,rezept
dark_prismarine_stairs,Dark Prismarine Stairs,49,rezept
daylight_detector,Daylight Detector,37,rezept
dead_brain_coral,Dead Brain Coral,4,muster
dead_brain_coral_block,Dead Brain Coral Block,8,muster
dead_brain_coral_fan,Dead Brain Coral Fan,4,muster
dead_bubble_coral,Dead Bubble Coral,4,muster
dead_bubble_coral_block,Dead Bubble Coral Block,8,muster
dead_bubble_coral_fan,Dead Bubble Coral Fan,4,muster
dead_bush,Dead Bush,1,muster
dead_fire_coral,Dead Fire Coral,4,muster
dead_fire_coral_block,Dead Fire Coral Block,8,muster
dead_fire_coral_fan,Dead Fire Coral Fan,4,muster
dead_horn_coral,Dead Horn Coral,4,muster
dead_horn_coral_block,Dead Horn Coral Block,8,muster
dead_horn_coral_fan,Dead Horn Coral Fan,4,muster
dead_tube_coral,Dead Tube Coral,4,muster
dead_tube_coral_block,Dead Tube Coral Block,8,muster
dead_tube_coral_fan,Dead Tube Coral Fan,4,muster
decorated_pot,Decorated Pot,9,rezept
deepslate,Deepslate,2,basis
deepslate_brick_slab,Deepslate Brick Slab,1,rest
deepslate_brick_stairs,Deepslate Brick Stairs,2,rezept
deepslate_brick_wall,Deepslate Brick Wall,2,rezept
deepslate_bricks,Deepslate Bricks,2,rezept
deepslate_coal_ore,Deepslate Coal Ore,6,muster
deepslate_copper_ore,Deepslate Copper Ore,5,muster
deepslate_diamond_ore,Deepslate Diamond Ore,301,muster
deepslate_emerald_ore,Deepslate Emerald Ore,201,muster
deepslate_gold_ore,Deepslate Gold Ore,31,muster
deepslate_iron_ore,Deepslate Iron Ore,16,muster
deepslate_lapis_ore,Deepslate Lapis Lazuli Ore,21,muster
deepslate_redstone_ore,Deepslate Redstone Ore,9,muster
deepslate_tile_slab,Deepslate Tile Slab,1,rest
deepslate_tile_stairs,Deepslate Tile Stairs,2,rezept
deepslate_tile_wall,Deepslate Tile Wall,2,rezept
deepslate_tiles,Deepslate Tiles,2,rezept
detector_rail,Detector Rail,24,rezept
diamond,Diamond,400,basis
diamond_block,Block of Diamond,4000,basis
diamond_ore,Diamond Ore,300,basis
diamond_spear,Diamond Spear,445,rezept
diorite,Diorite,1,basis
diorite_slab,Diorite Slab,1,rest
diorite_stairs,Diorite Stairs,1,rest
diorite_wall,Diorite Wall,1,rest
dirt,Dirt,1,basis
disc_fragment_5,Disc Fragment,50,muster
dispenser,Dispenser,33,rezept
dragon_breath,Dragon's Breath,40,basis
dragon_egg,Dragon Egg,5000,muster
dragon_head,Dragon Head,100,muster
dried_ghast,Dried Ghast,357,rezept
dried_kelp,Dried Kelp,2,rezept
dried_kelp_block,Dried Kelp Block,20,rezept
dripstone_block,Dripstone Block,5,basis
dropper,Dropper,11,rezept
dune_armor_trim_smithing_template,Smithing Template,300,rezept
echo_shard,Echo Shard,100,muster
egg,Egg,2,basis
emerald,Emerald,250,basis
emerald_block,Block of Emerald,2500,basis
emerald_ore,Emerald Ore,200,basis
enchanted_book,Enchanted Book,200,muster
enchanted_golden_apple,Enchanted Golden Apple,1500,basis
enchanting_table,Enchanting Table,1433,rezept
end_crystal,End Crystal,130,rezept
end_portal_frame,End Portal Frame,600,muster
end_rod,End Rod,9,rezept
end_stone,End Stone,5,basis
end_stone_brick_slab,End Stone Brick Slab,3,rezept
end_stone_brick_stairs,End Stone Brick Stairs,5,rezept
end_stone_brick_wall,End Stone Brick Wall,5,rezept
end_stone_bricks,End Stone Bricks,5,rezept
ender_chest,Ender Chest,1119,rezept
ender_eye,Eye of Ender,57,rezept
ender_pearl,Ender Pearl,40,basis
experience_bottle,Bottle o' Enchanting,30,muster
explorer_pottery_sherd,Explorer Pottery Sherd,20,muster
exposed_chiseled_copper,Exposed Chiseled Copper,13,rezept
exposed_copper,Exposed Copper,51,muster
exposed_copper_bars,Exposed Copper Bars,4,muster
exposed_copper_bulb,Exposed Copper Bulb,49,rezept
exposed_copper_chain,Exposed Copper Chain,9,muster
exposed_copper_chest,Exposed Copper Chest,75,muster
exposed_copper_door,Exposed Copper Door,12,muster
exposed_copper_golem_statue,Exposed Copper Golem Statue,1,rest
exposed_copper_grate,Exposed Copper Grate,13,rezept
exposed_copper_lantern,Exposed Copper Lantern,14,muster
exposed_copper_trapdoor,Exposed Copper Trapdoor,23,muster
exposed_cut_copper,Exposed Cut Copper,13,rezept
exposed_cut_copper_slab,Exposed Cut Copper Slab,7,rezept
exposed_cut_copper_stairs,Exposed Cut Copper Stairs,13,rezept
exposed_lightning_rod,Exposed Lightning Rod,18,muster
eye_armor_trim_smithing_template,Smithing Template,300,rezept
feather,Feather,2,basis
fermented_spider_eye,Fermented Spider Eye,9,rezept
fern,Fern,1,rest
field_masoned_banner_pattern,Field Masoned Banner Pattern,15,rezept
filled_map,Map,10,muster
fire_charge,Fire Charge,10,rezept
fire_coral,Fire Coral,4,muster
fire_coral_block,Fire Coral Block,8,muster
fire_coral_fan,Fire Coral Fan,4,muster
firefly_bush,Firefly Bush,2,muster
firework_rocket,Firework Rocket,5,rezept
firework_star,Firework Star,10,muster
fletching_table,Fletching Table,18,rezept
flint,Flint,2,basis
flow_armor_trim_smithing_template,Smithing Template,300,rezept
flow_banner_pattern,Banner Pattern,20,muster
flow_pottery_sherd,Flow Pottery Sherd,20,muster
flower_banner_pattern,Banner Pattern,7,rezept
flower_pot,Flower Pot,7,rezept
flowering_azalea,Flowering Azalea,8,basis
flowering_azalea_leaves,Flowering Azalea Leaves,1,muster
friend_pottery_sherd,Friend Pottery Sherd,20,muster
furnace,Furnace,9,rezept
furnace_minecart,Minecart with Furnace,132,rezept
ghast_tear,Ghast Tear,40,basis
gilded_blackstone,Gilded Blackstone,40,basis
glass,Glass,3,basis
glass_bottle,Glass Bottle,4,rezept
glass_pane,Glass Pane,2,rezept
glistering_melon_slice,Glistering Melon Slice,46,rezept
globe_banner_pattern,Banner Pattern,20,muster
glow_berries,Glow Berries,2,basis
glow_ink_sac,Glow Ink Sac,8,basis
glow_item_frame,Glow Item Frame,39,rezept
glow_lichen,Glow Lichen,2,basis
glowstone,Glowstone,15,basis
glowstone_dust,Glowstone Dust,4,basis
goat_horn,Goat Horn,50,muster
gold_block,Block of Gold,400,basis
gold_ingot,Gold Ingot,40,basis
gold_nugget,Gold Nugget,5,rezept
gold_ore,Gold Ore,30,basis
golden_apple,Golden Apple,361,rezept
golden_carrot,Golden Carrot,48,rezept
golden_spear,Golden Spear,49,rezept
granite,Granite,1,basis
granite_slab,Granite Slab,1,rest
granite_stairs,Granite Stairs,1,rest
granite_wall,Granite Wall,1,rest
grass,Grass,1,rest
grass_block,Grass Block,2,basis
gravel,Gravel,3,basis
gray_banner,Gray Banner,56,rezept
gray_bed,Gray Bed,30,rezept
gray_candle,Gray Candle,15,rezept
gray_carpet,Gray Carpet,6,rezept
gray_concrete,Gray Concrete,5,muster
gray_concrete_powder,Gray Concrete Powder,4,rezept
gray_dye,Gray Dye,3,rezept
gray_glazed_terracotta,Gray Glazed Terracotta,8,rezept
gray_harness,Gray Harness,42,rezept
gray_shulker_box,Gray Shulker Box,400,rezept
gray_stained_glass,Gray Stained Glass,4,rezept
gray_stained_glass_pane,Gray Stained Glass Pane,2,rezept
gray_terracotta,Gray Terracotta,6,rezept
gray_wool,Gray Wool,8,rezept
green_banner,Green Banner,62,rezept
green_bed,Green Bed,31,rezept
green_candle,Green Candle,16,rezept
green_carpet,Green Carpet,7,rezept
green_concrete,Green Concrete,5,muster
green_concrete_powder,Green Concrete Powder,4,rezept
green_dye,Green Dye,4,rezept
green_glazed_terracotta,Green Glazed Terracotta,9,rezept
green_harness,Green Harness,43,rezept
green_shulker_box,Green Shulker Box,401,rezept
green_stained_glass,Green Stained Glass,4,rezept
green_stained_glass_pane,Green Stained Glass Pane,2,rezept
green_terracotta,Green Terracotta,7,rezept
green_wool,Green Wool,9,rezept
grindstone,Grindstone,13,rezept
gunpowder,Gunpowder,8,basis
guster_banner_pattern,Banner Pattern,20,muster
guster_pottery_sherd,Guster Pottery Sherd,20,muster
hanging_roots,Hanging Roots,1,basis
harness,Harness,10,muster
hay_block,Hay Bale,30,rezept
heart_of_the_sea,Heart of the Sea,500,muster
heart_pottery_sherd,Heart Pottery Sherd,20,muster
heartbreak_pottery_sherd,Heartbreak Pottery Sherd,20,muster
heavy_core,Heavy Core,500,muster
heavy_weighted_pressure_plate,Heavy Weighted Pressure Plate,44,rezept
honey_block,Honey Block,36,rezept
honey_bottle,Honey Bottle,8,basis
honeycomb,Honeycomb,5,basis
honeycomb_block,Honeycomb Block,22,rezept
hopper,Hopper,140,rezept
hopper_minecart,Minecart with Hopper,277,rezept
horn_coral,Horn Coral,4,muster
horn_coral_block,Horn Coral Block,8,muster
horn_coral_fan,Horn Coral Fan,4,muster
host_armor_trim_smithing_template,Smithing Template,300,rezept
howl_pottery_sherd,Howl Pottery Sherd,20,muster
ice,Ice,3,basis
ink_sac,Ink Sac,3,basis
iron_bars,Iron Bars,9,rezept
iron_block,Block of Iron,200,basis
iron_chain,Iron Chain,29,rezept
iron_door,Iron Door,44,rezept
iron_ingot,Iron Ingot,20,basis
iron_nugget,Iron Nugget,3,rezept
iron_ore,Iron Ore,15,basis
iron_spear,Iron Spear,27,rezept
iron_trapdoor,Iron Trapdoor,88,rezept
item_frame,Item Frame,27,rezept
jack_o_lantern,Jack o'Lantern,15,rezept
jukebox,Jukebox,467,rezept
jungle_boat,Jungle Boat,28,rezept
jungle_button,Jungle Button,6,rezept
jungle_chest_boat,Jungle Boat with Chest,61,rezept
jungle_door,Jungle Door,11,rezept
jungle_fence,Jungle Fence,9,rezept
jungle_fence_gate,Jungle Fence Gate,20,rezept
jungle_hanging_sign,Jungle Hanging Sign,28,rezept
jungle_leaves,Jungle Leaves,1,muster
jungle_log,Jungle Log,15,muster
jungle_planks,Jungle Planks,5,rezept
jungle_pressure_plate,Jungle Pressure Plate,11,rezept
jungle_sapling,Jungle Sapling,20,muster
jungle_shelf,Jungle Shelf,17,rezept
jungle_sign,Jungle Sign,12,rezept
jungle_slab,Jungle Slab,3,rezept
jungle_stairs,Jungle Stairs,9,rezept
jungle_trapdoor,Jungle Trapdoor,17,rezept
jungle_wood,Jungle Wood,22,rezept
kelp,Kelp,1,basis
ladder,Ladder,6,rezept
lantern,Lantern,30,rezept
lapis_block,Block of Lapis Lazuli,40,basis
lapis_lazuli,Lapis Lazuli,4,basis
lapis_ore,Lapis Lazuli Ore,20,basis
large_amethyst_bud,Large Amethyst Bud,5,muster
large_fern,Large Fern,1,rest
lava_bucket,Lava Bucket,400,basis
lead,Lead,11,rezept
leaf_litter,Leaf Litter,2,rezept
leather,Leather,8,basis
lectern,Lectern,53,rezept
lever,Lever,4,rezept
light_blue_banner,Light Blue Banner,56,rezept
light_blue_bed,Light Blue Bed,30,rezept
light_blue_candle,Light Blue Candle,15,rezept
light_blue_carpet,Light Blue Carpet,6,rezept
light_blue_concrete,Light Blue Concrete,5,muster
light_blue_concrete_powder,Light Blue Concrete Powder,4,rezept
light_blue_dye,Light Blue Dye,3,rezept
light_blue_glazed_terracotta,Light Blue Glazed Terracotta,8,rezept
light_blue_harness,Light Blue Harness,42,rezept
light_blue_shulker_box,Light Blue Shulker Box,400,rezept
light_blue_stained_glass,Light Blue Stained Glass,4,rezept
light_blue_stained_glass_pane,Light Blue Stained Glass Pane,2,rezept
light_blue_terracotta,Light Blue Terracotta,6,rezept
light_blue_wool,Light Blue Wool,8,rezept
light_gray_banner,Light Gray Banner,56,rezept
light_gray_bed,Light Gray Bed,30,rezept
light_gray_candle,Light Gray Candle,15,rezept
light_gray_carpet,Light Gray Carpet,6,rezept
light_gray_concrete,Light Gray Concrete,5,muster
light_gray_concrete_powder,Light Gray Concrete Powder,4,rezept
light_gray_dye,Light Gray Dye,3,rezept
light_gray_glazed_terracotta,Light Gray Glazed Terracotta,8,rezept
light_gray_harness,Light Gray Harness,42,rezept
light_gray_shulker_box,Light Gray Shulker Box,400,rezept
light_gray_stained_glass,Light Gray Stained Glass,4,rezept
light_gray_stained_glass_pane,Light Gray Stained Glass Pane,2,rezept
light_gray_terracotta,Light Gray Terracotta,6,rezept
light_gray_wool,Light Gray Wool,8,rezept
light_weighted_pressure_plate,Light Weighted Pressure Plate,88,rezept
lightning_rod,Lightning Rod,17,rezept
lilac,Lilac,2,muster
lily_of_the_valley,Lily of the Valley,1,rest
lily_pad,Lily Pad,2,basis
